x,y,reflectance,illumination,grey_value
-0.0928987092283548,-0.2859673915097239,1,1,0.00828460038986362
-0.0396878389662117,-0.1615834782171424,2,1,0.03313840155945418
0.0123621022946648,-0.0800968990061297,3,1,0.074561403508772
-0.0084586331779209,0.0320787983996595,4,1,0.13255360623781673
0.0016549892008963,0.0881291716700325,5,1,0.20711500974658872
0.1037748960104465,0.1221623568819979,6,1,0.298245614035088
-0.1759287702390819,-0.2665453551459678,1,2,0.027777777777778
-0.0501165516042203,-0.0776492741838989,2,2,0.111111111111111
-0.055920230059712,0.0455088102115464,3,2,0.25
-0.0453986460889455,0.1502845099336501,4,2,0.444444444444444
0.2335198164938632,0.1537215269022779,5,2,0.694444444444444
0.1981880906490473,0.3826609976925549,6,2,1.0
-0.2039041602528659,-0.1992865221637096,1,3,0.08625730994152124
-0.0832802972626948,0.0306197369821475,2,3,0.34502923976608185
0.2060939422310898,0.0659630115527051,3,3,0.776315789473685
