x,y,reflectance,illumination,grey_value
-0.3109810980151833,-0.3054678877615277,1,1,0.00828460038986362
-0.1212749868293748,-0.174678719257434,2,1,0.03313840155945418
-0.0399563442974503,-0.1612593193202034,3,1,0.074561403508772
-0.0164245788783003,-0.0627397400832318,4,1,0.13255360623781673
-0.007303282327012,0.0049978187541879,5,1,0.20711500974658872
0.0426058988950426,0.0664997345670279,6,1,0.298245614035088
-0.1621153750745152,-0.2223138342169277,1,2,0.027777777777778
0.0246966731284457,-0.1095906569847355,2,2,0.111111111111111
0.052579279059922,-0.0218678337853334,3,2,0.25
0.082677801485553,0.1083832430970785,4,2,0.444444444444444
0.0058654905455204,0.3534079974612414,5,2,0.694444444444444
0.225134048694672,0.3714230969727908,6,2,1.0
-0.0104650788259385,-0.1578012159875901,1,3,0.08625730994152124
-0.0187528852255883,0.0855653353458602,2,3,0.34502923976608185
0.2537144376642076,0.2254419811987961,3,3,0.776315789473685
