x,y,reflectance,illumination,grey_value
-0.2058484476501009,-0.2986370640530287,1,1,0.00828460038986362
-0.0382582891735017,-0.2099543607653619,2,1,0.03313840155945418
-0.0487641019999438,-0.0717462774483549,3,1,0.074561403508772
-0.0089876533962984,-0.0052223222726382,4,1,0.13255360623781673
0.0404073089697733,0.1594851773675291,5,1,0.20711500974658872
0.1664308738379036,0.1911457235438821,6,1,0.298245614035088
-0.1467750499312455,-0.2923888161128635,1,2,0.027777777777778
-0.0378269053128134,-0.1152105901486344,2,2,0.111111111111111
-0.1022062491370343,0.0499547368353257,3,2,0.25
0.148748836059907,0.1334180355748024,4,2,0.444444444444444
0.1441500175871747,0.2189512945479984,5,2,0.694444444444444
0.142993535484506,0.3080872309443645,6,2,1.0
-0.132379021366027,-0.262202004221609,1,3,0.08625730994152124
-0.1358810140498915,0.0133868547695635,2,3,0.34502923976608185
0.2141961600775923,0.1809323814390247,3,3,0.776315789473685
