x,y,reflectance,illumination,grey_value
-0.1623599940071343,-0.3421169961188924,1,1,0.00828460038986362
-0.1558995298805036,-0.2017182965913107,2,1,0.03313840155945418
-0.0376987244257528,-0.1794968335912586,3,1,0.074561403508772
0.0520438038352024,-0.0666716892966534,4,1,0.13255360623781673
-0.059850694800586,0.0353498579691468,5,1,0.20711500974658872
-0.044821363864104,0.1250477571589321,6,1,0.298245614035088
-0.178720147128039,-0.2306297952288595,1,2,0.027777777777778
-0.0449161555151264,-0.0871650932431844,2,2,0.111111111111111
-0.0362876033444153,0.0337812085284474,3,2,0.25
0.0694143661317084,0.2136282984875772,4,2,0.444444444444444
0.1890225183790698,0.3081702797885419,5,2,0.694444444444444
0.3442752804852477,0.2138092833514293,6,2,1.0
0.0191093398765008,-0.2337192777795818,1,3,0.08625730994152124
-0.106497133478203,0.140808520130426,2,3,0.34502923976608185
0.1531860377361354,0.2709227764352405,3,3,0.776315789473685
