x,y,reflectance,illumination,grey_value
-0.2387085060003605,-0.4355731851807369,1,1,0.00828460038986362
-0.0616522138257126,-0.2247725630409446,2,1,0.03313840155945418
-0.0197272934077639,-0.1253532897885792,3,1,0.074561403508772
-0.007659367234281,-0.0343918267203768,4,1,0.13255360623781673
0.0785290296882556,-0.0051007433333608,5,1,0.20711500974658872
0.1220976028721063,0.0320098210622852,6,1,0.298245614035088
-0.1620535731403964,-0.2444562178544355,1,2,0.027777777777778
-0.0575010498658703,-0.0597758234236934,2,2,0.111111111111111
-0.0062377679425212,0.0879255651768089,3,2,0.25
0.0565680458568064,0.1513310655927452,4,2,0.444444444444444
0.2341570425728799,0.1554174226180209,5,2,0.694444444444444
0.2080110522817245,0.273109313707327,6,2,1.0
-0.1772873572234925,-0.0458806547235596,1,3,0.08625730994152124
-0.0387758901374899,0.1531211151184674,2,3,0.34502923976608185
0.0702402455061158,0.3223900007900325,3,3,0.776315789473685
