x,y,reflectance,illumination,grey_value
-0.2524069760444729,-0.4394288606691331,1,1,0.00828460038986362
-0.0541633620284753,-0.2123063601235769,2,1,0.03313840155945418
-0.1346460299733379,-0.0652205774529871,3,1,0.074561403508772
0.0071264519104066,-0.0432457317971235,4,1,0.13255360623781673
0.0678826608965965,-0.0088839159838112,5,1,0.20711500974658872
0.0251235307983526,0.1425403838880785,6,1,0.298245614035088
-0.122727156402061,-0.2947152924551228,1,2,0.027777777777778
-0.0765901795885849,-0.0375453344965761,2,2,0.111111111111111
0.0204071475075482,0.0513770437265321,3,2,0.25
-0.0004841704249767,0.1581235907120194,4,2,0.444444444444444
0.1206860795303332,0.2661493674338619,5,2,0.694444444444444
0.1979816785744764,0.2925109808162392,6,2,1.0
-0.1331727445592157,-0.0820182714500714,1,3,0.08625730994152124
0.1005412096774543,0.0483757929160675,2,3,0.34502923976608185
0.2344418601259565,0.2242871849356035,3,3,0.776315789473685
