x,y,reflectance,illumination,grey_value
-0.0242251931428878,-0.3757631720918616,1,1,0.00828460038986362
-0.0880664540427435,-0.2035703405569364,2,1,0.03313840155945418
-0.0752738586466086,-0.1288697188964884,3,1,0.074561403508772
-0.0523204373319463,-0.0476640979808903,4,1,0.13255360623781673
-0.0669299359940387,0.0574952509277426,5,1,0.20711500974658872
0.0367014129217412,0.088193254728299,6,1,0.298245614035088
-0.1968734566953919,-0.215809945335684,1,2,0.027777777777778
-0.1176800895522596,-0.0555185608687619,2,2,0.111111111111111
0.0711072104828111,-0.0200699611120786,3,2,0.25
-0.0292959119242663,0.1965079025129058,4,2,0.444444444444444
0.1701863741751106,0.179150334399219,5,2,0.694444444444444
0.3666444608513846,0.1755512578181554,6,2,1.0
-0.0916369406117315,-0.109009120099774,1,3,0.08625730994152124
-0.0607465374030276,0.1498252516293426,2,3,0.34502923976608185
0.1584093569138543,0.3095516649268111,3,3,0.776315789473685
