x,y,reflectance,illumination,grey_value
-0.2443537226837787,-0.3099406651080557,1,1,0.00828460038986362
-0.0573070494642796,-0.2702363531216957,2,1,0.03313840155945418
0.0102642830439531,-0.1535082074203622,3,1,0.074561403508772
-0.0634614014249844,-0.0432200061189727,4,1,0.13255360623781673
-0.0495199940850675,0.0591170704795847,5,1,0.20711500974658872
-0.0480612027148075,0.1416215429156848,6,1,0.298245614035088
-0.1832217481643084,-0.2563533626965223,1,2,0.027777777777778
-0.0430294698120367,-0.0960168015779173,2,2,0.111111111111111
-0.0548942684769922,0.0613097433563831,3,2,0.25
0.1267631599856548,0.1352238623427351,4,2,0.444444444444444
0.232604052105885,0.1426066000275777,5,2,0.694444444444444
0.1453481906442499,0.4319859683959467,6,2,1.0
-0.0071521228000856,-0.1556383780718365,1,3,0.08625730994152124
-0.0195385243378551,0.1207224718568599,2,3,0.34502923976608185
0.2555598181844533,0.1923265147405902,3,3,0.776315789473685
