index_left,index_middle,index_right,reflectance_surround_left,reflectance_center_left,emission_spot_left,reflectance_surround_middle,reflectance_center_middle,emission_spot_middle,reflectance_surround_right,reflectance_center_right,emission_spot_right,ImageName,ImageExr,ImageNpy,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sound_1.started,sound_1.stopped,BB_Trial.resp,BB_Trial.color,BB_Trial.rt,text.started,text.stopped,sound_2.started,block,sound_4.started,participant,session,L/B,scene,condition,nTrialsPerBlock,date,expName,psychopyVersion,frameRate,Unnamed: 43
6,4,10,2,0.027777777777778,1.0,2,0.694444444444444,0.298245614035088,2,0.694444444444444,1.0,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm69-esm29-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl2-esl100-rsm2-rcm69-esm29-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl2-esl100-rsm2-rcm69-esm29-rsr2-rcr69-esr100.npz,,,,,0,0,0,554,122.238534784317,100.126384973526,right,red,0.97,132.30872797966003,132.7186679840088,46.4237726688385,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
2,5,3,2,0.25,0.298245614035088,2,1.0,0.298245614035088,2,0.444444444444444,0.298245614035088,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm29-rsr2-rcr44-esr29,exr/ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm29-rsr2-rcr44-esr29.exr,ReadingArea_rsl2-rcl25-esl29-rsm2-rcm100-esm29-rsr2-rcr44-esr29.npz,,,,,0,1,1,135,,,right,red,1.41,134.45119190216064,,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
12,11,6,2,0.027777777777778,3.10526315789474,2,1.0,1.0,2,0.027777777777778,1.0,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm100-esm100-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl2-esl310-rsm2-rcm100-esm100-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl2-esl310-rsm2-rcm100-esm100-rsr2-rcr2-esr100.npz,,,,,0,2,2,163,,,left,green,1.16,136.55959391593933,,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
5,1,4,2,1.0,0.298245614035088,2,0.111111111111111,0.298245614035088,2,0.694444444444444,0.298245614035088,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm11-esm29-rsr2-rcr69-esr29,exr/ReadingArea_rsl2-rcl100-esl29-rsm2-rcm11-esm29-rsr2-rcr69-esr29.exr,ReadingArea_rsl2-rcl100-esl29-rsm2-rcm11-esm29-rsr2-rcr69-esr29.npz,,,,,0,3,3,287,,,left,green,1.33,138.59953689575195,138.9480481147766,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
14,13,6,2,0.25,3.10526315789474,2,0.111111111111111,3.10526315789474,2,0.027777777777778,1.0,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm11-esm310-rsr2-rcr2-esr100,exr/ReadingArea_rsl2-rcl25-esl310-rsm2-rcm11-esm310-rsr2-rcr2-esr100.exr,ReadingArea_rsl2-rcl25-esl310-rsm2-rcm11-esm310-rsr2-rcr2-esr100.npz,,,,,0,4,4,102,,,left,green,1.23,140.65201210975647,,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
8,12,7,2,0.25,1.0,2,0.027777777777778,3.10526315789474,2,0.111111111111111,1.0,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm310-rsr2-rcr11-esr100,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm310-rsr2-rcr11-esr100.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm2-esm310-rsr2-rcr11-esr100.npz,,,,,0,5,5,467,,,right,red,1.32,142.71223211288452,143.07723212242126,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
7,13,4,2,0.111111111111111,1.0,2,0.111111111111111,3.10526315789474,2,0.694444444444444,0.298245614035088,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm310-rsr2-rcr69-esr29,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm310-rsr2-rcr69-esr29.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm310-rsr2-rcr69-esr29.npz,,,,,0,6,6,456,,,right,red,3.01,146.56569910049438,147.0273950099945,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
8,9,1,2,0.25,1.0,2,0.444444444444444,1.0,2,0.111111111111111,0.298245614035088,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm44-esm100-rsr2-rcr11-esr29,exr/ReadingArea_rsl2-rcl25-esl100-rsm2-rcm44-esm100-rsr2-rcr11-esr29.exr,ReadingArea_rsl2-rcl25-esl100-rsm2-rcm44-esm100-rsr2-rcr11-esr29.npz,,,,,0,7,7,266,,,left,green,2.67,150.5080049037933,150.85464692115784,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
7,1,9,2,0.111111111111111,1.0,2,0.111111111111111,0.298245614035088,2,0.444444444444444,1.0,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm29-rsr2-rcr44-esr100,exr/ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm29-rsr2-rcr44-esr100.exr,ReadingArea_rsl2-rcl11-esl100-rsm2-rcm11-esm29-rsr2-rcr44-esr100.npz,,,,,0,8,8,89,,,left,green,2.53,154.31717610359192,154.74092292785645,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
11,7,10,2,1.0,1.0,2,0.111111111111111,1.0,2,0.694444444444444,1.0,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm100-rsr2-rcr69-esr100,exr/ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm100-rsr2-rcr69-esr100.exr,ReadingArea_rsl2-rcl100-esl100-rsm2-rcm11-esm100-rsr2-rcr69-esr100.npz,,,,,0,9,9,411,,,left,green,1.89,158.20772004127502,158.61337208747864,,1,,5,2,lightness,readingArea,realistic,75,2023-03-13_15h05.54.393,tripletExp_regina_11082022,2022.2.4,120.22265663068464,
